ENSG00000000003.14	TSPAN6	327
ENSG00000000005.5	TNMD	0
ENSG00000000419.12	DPM1	1140
ENSG00000000457.13	SCYL3	182
ENSG00000000460.16	C1orf112	84
ENSG00000000938.12	FGR	31
ENSG00000000971.15	CFH	124
ENSG00000001036.13	FUCA2	530
ENSG00000001084.12	GCLC	675
ENSG00000001167.14	NFYA	581
ENSG00000001460.17	STPG1	115
ENSG00000001461.16	NIPAL3	1301
ENSG00000001497.16	LAS1L	443
ENSG00000001561.6	ENPP4	623
ENSG00000001617.11	SEMA3F	375
ENSG00000001626.15	CFTR	31
ENSG00000001629.9	ANKIB1	1652
ENSG00000001630.16	CYP51A1	156
ENSG00000001631.15	KRIT1	478
ENSG00000002016.17	RAD52	383
ENSG00000002079.14	MYH16	0
ENSG00000002330.13	BAD	512
ENSG00000002549.12	LAP3	583
ENSG00000002586.19	CD99	0
ENSG00000002586.19_PAR_Y	CD99	0
ENSG00000002587.9	HS3ST1	15
ENSG00000002726.20	AOC1	652
ENSG00000002745.12	WNT16	0
ENSG00000002746.14	HECW1	34
ENSG00000002822.15	MAD1L1	198
ENSG00000002834.17	LASP1	2200
ENSG00000002919.14	SNX11	292
ENSG00000002933.8	TMEM176A	278
ENSG00000003056.7	M6PR	898
ENSG00000003096.14	KLHL13	0
ENSG00000003137.8	CYP26B1	62
ENSG00000003147.18	ICA1	257
ENSG00000003249.13	DBNDD1	217
ENSG00000003393.14	ALS2	511
ENSG00000003400.14	CASP10	504
ENSG00000003402.19	CFLAR	2403
ENSG00000003436.15	TFPI	10
ENSG00000003509.15	NDUFAF7	319
ENSG00000003756.16	RBM5	2061
ENSG00000003987.13	MTMR7	21
ENSG00000003989.17	SLC7A2	102
ENSG00000004059.10	ARF5	1221
ENSG00000004139.13	SARM1	253
ENSG00000004142.11	POLDIP2	777
ENSG00000004399.12	PLXND1	454
ENSG00000004455.16	AK2	3629
ENSG00000004468.12	CD38	9
ENSG00000004478.7	FKBP4	5564
ENSG00000004487.16	KDM1A	2011
ENSG00000004534.14	RBM6	1205
ENSG00000004660.14	CAMKK1	122
ENSG00000004700.15	RECQL	272
ENSG00000004766.16	VPS50	475
ENSG00000004776.12	HSPB6	101
ENSG00000004777.18	ARHGAP33	377
ENSG00000004779.9	NDUFAB1	822
ENSG00000004799.7	PDK4	280
ENSG00000004809.13	SLC22A16	1
ENSG00000004838.13	ZMYND10	25
ENSG00000004846.16	ABCB5	8
ENSG00000004848.7	ARX	1
ENSG00000004864.13	SLC25A13	612
ENSG00000004866.20	ST7	242
ENSG00000004897.11	CDC27	915
ENSG00000004939.14	SLC4A1	0
ENSG00000004948.14	CALCR	0
ENSG00000004961.14	HCCS	219
ENSG00000004975.11	DVL2	470
ENSG00000005001.9	PRSS22	557
ENSG00000005007.12	UPF1	2133
ENSG00000005020.12	SKAP2	290
ENSG00000005022.5	SLC25A5	2527
ENSG00000005059.15	MCUB	75
ENSG00000005073.5	HOXA11	0
ENSG00000005075.15	POLR2J	448
ENSG00000005100.12	DHX33	380
ENSG00000005102.12	MEOX1	3
ENSG00000005108.15	THSD7A	29
ENSG00000005156.11	LIG3	368
ENSG00000005175.9	RPAP3	389
ENSG00000005187.11	ACSM3	64
ENSG00000005189.19	REXO5	33
ENSG00000005194.14	CIAPIN1	579
ENSG00000005206.16	SPPL2B	507
ENSG00000005238.19	FAM214B	292
ENSG00000005243.9	COPZ2	53
ENSG00000005249.12	PRKAR2B	247
ENSG00000005302.18	MSL3	413
ENSG00000005339.14	CREBBP	1427
ENSG00000005379.16	TSPOAP1	400
ENSG00000005381.7	MPO	3
ENSG00000005421.8	PON1	2
ENSG00000005436.13	GCFC2	207
ENSG00000005448.16	WDR54	233
ENSG00000005469.11	CROT	280
ENSG00000005471.17	ABCB4	2
ENSG00000005483.20	KMT2E	1641
ENSG00000005486.16	RHBDD2	2403
ENSG00000005513.9	SOX8	3
ENSG00000005700.14	IBTK	984
ENSG00000005801.17	ZNF195	408
ENSG00000005810.17	MYCBP2	898
ENSG00000005812.10	FBXL3	740
ENSG00000005844.17	ITGAL	70
ENSG00000005882.11	PDK2	506
ENSG00000005884.17	ITGA3	7748
ENSG00000005889.15	ZFX	347
ENSG00000005893.15	LAMP2	1395
ENSG00000005961.18	ITGA2B	24
ENSG00000005981.12	ASB4	2
ENSG00000006007.11	GDE1	925
ENSG00000006015.17	REX1BD	481
ENSG00000006016.10	CRLF1	13
ENSG00000006025.11	OSBPL7	381
ENSG00000006042.11	TMEM98	9
ENSG00000006047.12	YBX2	52
ENSG00000006059.3	KRT33A	0
ENSG00000006062.15	MAP3K14	184
ENSG00000006071.13	ABCC8	1
ENSG00000006116.3	CACNG3	0
ENSG00000006118.14	TMEM132A	1699
ENSG00000006125.17	AP2B1	731
ENSG00000006128.11	TAC1	7
ENSG00000006194.9	ZNF263	574
ENSG00000006210.6	CX3CL1	82
ENSG00000006282.20	SPATA20	1031
ENSG00000006283.17	CACNA1G	3
ENSG00000006327.13	TNFRSF12A	2706
ENSG00000006377.10	DLX6	0
ENSG00000006432.15	MAP3K9	781
ENSG00000006451.7	RALA	427
ENSG00000006453.13	BAIAP2L1	604
ENSG00000006459.10	KDM7A	534
ENSG00000006468.13	ETV1	6
ENSG00000006530.16	AGK	473
ENSG00000006534.15	ALDH3B1	358
ENSG00000006555.10	TTC22	277
ENSG00000006576.16	PHTF2	694
ENSG00000006606.8	CCL26	8
ENSG00000006607.13	FARP2	585
ENSG00000006611.15	USH1C	4
ENSG00000006625.17	GGCT	475
ENSG00000006634.7	DBF4	259
ENSG00000006638.11	TBXA2R	1
ENSG00000006652.13	IFRD1	832
ENSG00000006659.12	LGALS14	1
ENSG00000006695.10	COX10	233
ENSG00000006704.10	GTF2IRD1	1013
ENSG00000006712.14	PAF1	1258
ENSG00000006715.15	VPS41	496
ENSG00000006740.16	ARHGAP44	322
ENSG00000006744.18	ELAC2	722
ENSG00000006747.14	SCIN	13
ENSG00000006756.15	ARSD	249
ENSG00000006757.11	PNPLA4	81
ENSG00000006788.13	MYH13	1
ENSG00000006831.9	ADIPOR2	1183
ENSG00000006837.11	CDKL3	10
ENSG00000007001.12	UPP2	1
ENSG00000007038.10	PRSS21	519
ENSG00000007047.14	MARK4	445
ENSG00000007062.11	PROM1	191
ENSG00000007080.10	CCDC124	1287
ENSG00000007129.17	CEACAM21	3
ENSG00000007168.12	PAFAH1B1	1566
ENSG00000007171.17	NOS2	0
ENSG00000007174.17	DNAH9	0
ENSG00000007202.14	KIAA0100	2625
ENSG00000007216.14	SLC13A2	0
ENSG00000007237.18	GAS7	78
ENSG00000007255.10	TRAPPC6A	95
ENSG00000007264.14	MATK	3
ENSG00000007306.14	CEACAM7	0
ENSG00000007312.12	CD79B	0
ENSG00000007314.12	SCN4A	0
ENSG00000007341.18	ST7L	148
ENSG00000007350.16	TKTL1	3
ENSG00000007372.22	PAX6	19
ENSG00000007376.7	RPUSD1	420
ENSG00000007384.15	RHBDF1	380
ENSG00000007392.16	LUC7L	1177
ENSG00000007402.11	CACNA2D2	27
ENSG00000007516.13	BAIAP3	443
ENSG00000007520.3	TSR3	492
ENSG00000007541.16	PIGQ	564
ENSG00000007545.15	CRAMP1	497
ENSG00000007866.20	TEAD3	541
ENSG00000007908.15	SELE	0
ENSG00000007923.15	DNAJC11	979
