"ensembl_gene_rec","gene_name","d0_rc","d6_rc"
"ENSG00000000003.14","TSPAN6",987,720
"ENSG00000000419.12","DPM1",521,832
"ENSG00000000457.13","SCYL3",234,170
"ENSG00000000460.16","C1orf112",206,227
"ENSG00000000938.12","FGR",62,44
"ENSG00000000971.15","CFH",4090,978
"ENSG00000001036.13","FUCA2",1148,1061
"ENSG00000001084.12","GCLC",419,400
"ENSG00000001167.14","NFYA",385,407
"ENSG00000001460.17","STPG1",176,173
"ENSG00000001461.16","NIPAL3",655,623
"ENSG00000001497.16","LAS1L",908,820
"ENSG00000001561.6","ENPP4",671,669
"ENSG00000001617.11","SEMA3F",590,317
"ENSG00000001626.15","CFTR",15,27
"ENSG00000001629.9","ANKIB1",976,892
"ENSG00000001630.16","CYP51A1",202,499
"ENSG00000001631.15","KRIT1",277,350
"ENSG00000002016.17","RAD52",342,409
"ENSG00000002079.14","MYH16",4,2
"ENSG00000002330.13","BAD",254,398
"ENSG00000002549.12","LAP3",1612,1463
"ENSG00000002587.9","HS3ST1",100,62
"ENSG00000002726.20","AOC1",833,194
"ENSG00000002745.12","WNT16",NA,1
"ENSG00000002746.14","HECW1",35,8
"ENSG00000002822.15","MAD1L1",385,332
"ENSG00000002834.17","LASP1",10432,10089
"ENSG00000002919.14","SNX11",98,152
"ENSG00000002933.8","TMEM176A",111,28
"ENSG00000003056.7","M6PR",1459,1882
"ENSG00000003096.14","KLHL13",28,55
"ENSG00000003137.8","CYP26B1",3746,124
"ENSG00000003147.18","ICA1",166,204
"ENSG00000003249.13","DBNDD1",143,163
"ENSG00000003393.14","ALS2",553,768
"ENSG00000003400.14","CASP10",365,549
"ENSG00000003402.19","CFLAR",1867,2632
"ENSG00000003436.15","TFPI",6,24
"ENSG00000003509.15","NDUFAF7",205,243
"ENSG00000003756.16","RBM5",2226,2166
"ENSG00000003987.13","MTMR7",22,16
"ENSG00000003989.17","SLC7A2",284,336
"ENSG00000004059.10","ARF5",673,667
"ENSG00000004139.13","SARM1",746,325
"ENSG00000004142.11","POLDIP2",772,795
"ENSG00000004399.12","PLXND1",507,763
"ENSG00000004455.16","AK2",3106,3706
"ENSG00000004468.12","CD38",9,8
"ENSG00000004478.7","FKBP4",8075,11853
"ENSG00000004487.16","KDM1A",3067,5061
"ENSG00000004534.14","RBM6",3226,3426
"ENSG00000004660.14","CAMKK1",142,81
"ENSG00000004700.15","RECQL",560,833
"ENSG00000004766.16","VPS50",332,475
"ENSG00000004776.12","HSPB6",NA,1
"ENSG00000004777.18","ARHGAP33",156,156
"ENSG00000004779.9","NDUFAB1",479,816
"ENSG00000004799.7","PDK4",944,193
"ENSG00000004809.13","SLC22A16",NA,3
"ENSG00000004838.13","ZMYND10",206,54
"ENSG00000004846.16","ABCB5",2,NA
"ENSG00000004864.13","SLC25A13",788,1064
"ENSG00000004866.20","ST7",271,386
"ENSG00000004897.11","CDC27",596,918
"ENSG00000004939.14","SLC4A1",1,1
"ENSG00000004948.14","CALCR",6,2
"ENSG00000004961.14","HCCS",631,942
"ENSG00000004975.11","DVL2",1409,2214
"ENSG00000005001.9","PRSS22",1056,793
"ENSG00000005007.12","UPF1",1491,1756
"ENSG00000005020.12","SKAP2",245,329
"ENSG00000005022.5","SLC25A5",7325,9292
"ENSG00000005059.15","MCUB",77,140
"ENSG00000005075.15","POLR2J",368,577
"ENSG00000005100.12","DHX33",470,343
"ENSG00000005102.12","MEOX1",36,4601
"ENSG00000005108.15","THSD7A",174,94
"ENSG00000005156.11","LIG3",501,598
"ENSG00000005175.9","RPAP3",473,670
"ENSG00000005187.11","ACSM3",228,496
"ENSG00000005189.19","REXO5",47,134
"ENSG00000005194.14","CIAPIN1",461,699
"ENSG00000005206.16","SPPL2B",591,415
"ENSG00000005238.19","FAM214B",130,215
"ENSG00000005243.9","COPZ2",1,17
"ENSG00000005249.12","PRKAR2B",172,192
"ENSG00000005302.18","MSL3",490,388
"ENSG00000005339.14","CREBBP",1176,1044
"ENSG00000005379.16","TSPOAP1",538,88
"ENSG00000005421.8","PON1",6,112
"ENSG00000005436.13","GCFC2",322,305
"ENSG00000005448.16","WDR54",205,126
"ENSG00000005469.11","CROT",93,96
"ENSG00000005471.17","ABCB4",14,4
"ENSG00000005483.20","KMT2E",2556,2099
"ENSG00000005486.16","RHBDD2",1223,1374
"ENSG00000005513.9","SOX8",NA,1
"ENSG00000005700.14","IBTK",591,943
"ENSG00000005801.17","ZNF195",1235,726
"ENSG00000005810.17","MYCBP2",835,829
"ENSG00000005812.10","FBXL3",852,952
"ENSG00000005844.17","ITGAL",18,19
"ENSG00000005882.11","PDK2",261,418
"ENSG00000005884.17","ITGA3",6320,2669
"ENSG00000005889.15","ZFX",579,619
"ENSG00000005893.15","LAMP2",1889,2159
"ENSG00000005961.18","ITGA2B",69,66
"ENSG00000006007.11","GDE1",835,663
"ENSG00000006015.17","REX1BD",538,572
"ENSG00000006016.10","CRLF1",61,62
"ENSG00000006025.11","OSBPL7",650,184
"ENSG00000006042.11","TMEM98",21,17
"ENSG00000006047.12","YBX2",135,1011
"ENSG00000006062.15","MAP3K14",455,454
"ENSG00000006071.13","ABCC8",4,5
"ENSG00000006118.14","TMEM132A",1310,1173
"ENSG00000006125.17","AP2B1",1924,1941
"ENSG00000006194.9","ZNF263",422,401
"ENSG00000006210.6","CX3CL1",345,174
"ENSG00000006282.20","SPATA20",1102,821
"ENSG00000006283.17","CACNA1G",2,1
"ENSG00000006327.13","TNFRSF12A",3074,2657
"ENSG00000006377.10","DLX6",64,92
"ENSG00000006432.15","MAP3K9",1710,2030
"ENSG00000006451.7","RALA",1245,1451
"ENSG00000006453.13","BAIAP2L1",1434,1357
"ENSG00000006459.10","KDM7A",373,310
"ENSG00000006468.13","ETV1",1,2
"ENSG00000006530.16","AGK",250,274
"ENSG00000006534.15","ALDH3B1",1122,767
"ENSG00000006555.10","TTC22",306,121
"ENSG00000006576.16","PHTF2",557,871
"ENSG00000006606.8","CCL26",5,7
"ENSG00000006607.13","FARP2",934,908
"ENSG00000006611.15","USH1C",1,2
"ENSG00000006625.17","GGCT",947,2335
"ENSG00000006634.7","DBF4",270,604
"ENSG00000006638.11","TBXA2R",3,5
"ENSG00000006652.13","IFRD1",688,827
"ENSG00000006695.10","COX10",190,169
"ENSG00000006704.10","GTF2IRD1",593,632
"ENSG00000006712.14","PAF1",478,803
"ENSG00000006715.15","VPS41",990,1347
"ENSG00000006740.16","ARHGAP44",87,108
"ENSG00000006744.18","ELAC2",686,687
"ENSG00000006747.14","SCIN",18,1
"ENSG00000006756.15","ARSD",1196,691
"ENSG00000006757.11","PNPLA4",216,233
"ENSG00000006831.9","ADIPOR2",3046,4399
"ENSG00000006837.11","CDKL3",6,14
"ENSG00000007038.10","PRSS21",2301,1877
"ENSG00000007047.14","MARK4",252,282
"ENSG00000007062.11","PROM1",12,3
"ENSG00000007080.10","CCDC124",869,1289
"ENSG00000007129.17","CEACAM21",1,1
"ENSG00000007168.12","PAFAH1B1",1275,1196
"ENSG00000007171.17","NOS2",2,NA
"ENSG00000007202.14","KIAA0100",2347,2142
"ENSG00000007216.14","SLC13A2",4,NA
"ENSG00000007237.18","GAS7",55,61
"ENSG00000007255.10","TRAPPC6A",149,153
