"ensembl_gene_rec","gene_name","d0_rc","d6_rc"
"ENSG00000000003.14","TSPAN6",846,339
"ENSG00000000419.12","DPM1",1079,1164
"ENSG00000000457.13","SCYL3",354,248
"ENSG00000000460.16","C1orf112",241,327
"ENSG00000000938.12","FGR",46,62
"ENSG00000000971.15","CFH",72,16
"ENSG00000001036.13","FUCA2",906,1551
"ENSG00000001084.12","GCLC",985,1467
"ENSG00000001167.14","NFYA",1520,1095
"ENSG00000001460.17","STPG1",194,218
"ENSG00000001461.16","NIPAL3",685,743
"ENSG00000001497.16","LAS1L",285,206
"ENSG00000001561.6","ENPP4",734,584
"ENSG00000001617.11","SEMA3F",1222,860
"ENSG00000001626.15","CFTR",19,14
"ENSG00000001629.9","ANKIB1",1775,1269
"ENSG00000001630.16","CYP51A1",87,390
"ENSG00000001631.15","KRIT1",247,325
"ENSG00000002016.17","RAD52",172,253
"ENSG00000002079.14","MYH16",1,4
"ENSG00000002330.13","BAD",481,524
"ENSG00000002549.12","LAP3",865,956
"ENSG00000002587.9","HS3ST1",43,29
"ENSG00000002726.20","AOC1",1418,138
"ENSG00000002745.12","WNT16",NA,1
"ENSG00000002746.14","HECW1",19,35
"ENSG00000002822.15","MAD1L1",563,458
"ENSG00000002834.17","LASP1",4972,4943
"ENSG00000002919.14","SNX11",361,437
"ENSG00000002933.8","TMEM176A",1234,219
"ENSG00000003056.7","M6PR",1305,1878
"ENSG00000003096.14","KLHL13",14,40
"ENSG00000003137.8","CYP26B1",2005,218
"ENSG00000003147.18","ICA1",699,630
"ENSG00000003249.13","DBNDD1",370,337
"ENSG00000003393.14","ALS2",1478,1840
"ENSG00000003400.14","CASP10",144,123
"ENSG00000003402.19","CFLAR",3838,2719
"ENSG00000003436.15","TFPI",4,16
"ENSG00000003509.15","NDUFAF7",375,534
"ENSG00000003756.16","RBM5",1155,1231
"ENSG00000003987.13","MTMR7",201,150
"ENSG00000003989.17","SLC7A2",2896,5200
"ENSG00000004059.10","ARF5",1150,1007
"ENSG00000004139.13","SARM1",311,129
"ENSG00000004142.11","POLDIP2",881,899
"ENSG00000004399.12","PLXND1",1264,1136
"ENSG00000004455.16","AK2",1478,1581
"ENSG00000004468.12","CD38",25,41
"ENSG00000004478.7","FKBP4",4554,3687
"ENSG00000004487.16","KDM1A",1828,1302
"ENSG00000004534.14","RBM6",1423,1679
"ENSG00000004660.14","CAMKK1",231,97
"ENSG00000004700.15","RECQL",676,678
"ENSG00000004766.16","VPS50",397,442
"ENSG00000004776.12","HSPB6",19,52
"ENSG00000004777.18","ARHGAP33",202,132
"ENSG00000004779.9","NDUFAB1",590,893
"ENSG00000004799.7","PDK4",420,63
"ENSG00000004809.13","SLC22A16",1,2
"ENSG00000004838.13","ZMYND10",62,22
"ENSG00000004864.13","SLC25A13",887,928
"ENSG00000004866.20","ST7",197,173
"ENSG00000004897.11","CDC27",886,1133
"ENSG00000004939.14","SLC4A1",NA,2
"ENSG00000004948.14","CALCR",9,10
"ENSG00000004961.14","HCCS",145,184
"ENSG00000004975.11","DVL2",805,1097
"ENSG00000005001.9","PRSS22",1453,1491
"ENSG00000005007.12","UPF1",1515,1406
"ENSG00000005020.12","SKAP2",111,155
"ENSG00000005022.5","SLC25A5",1548,1724
"ENSG00000005059.15","MCUB",122,109
"ENSG00000005075.15","POLR2J",310,394
"ENSG00000005100.12","DHX33",671,480
"ENSG00000005102.12","MEOX1",535,1200
"ENSG00000005108.15","THSD7A",42,22
"ENSG00000005156.11","LIG3",625,450
"ENSG00000005175.9","RPAP3",506,767
"ENSG00000005187.11","ACSM3",343,158
"ENSG00000005189.19","REXO5",84,219
"ENSG00000005194.14","CIAPIN1",530,514
"ENSG00000005206.16","SPPL2B",530,384
"ENSG00000005238.19","FAM214B",309,344
"ENSG00000005243.9","COPZ2",8,15
"ENSG00000005249.12","PRKAR2B",113,56
"ENSG00000005302.18","MSL3",378,265
"ENSG00000005339.14","CREBBP",3102,2019
"ENSG00000005379.16","TSPOAP1",704,92
"ENSG00000005381.7","MPO",8,10
"ENSG00000005421.8","PON1",2,1
"ENSG00000005436.13","GCFC2",274,171
"ENSG00000005448.16","WDR54",254,163
"ENSG00000005469.11","CROT",146,101
"ENSG00000005471.17","ABCB4",5,1
"ENSG00000005483.20","KMT2E",2473,1604
"ENSG00000005486.16","RHBDD2",1207,875
"ENSG00000005700.14","IBTK",1496,2309
"ENSG00000005801.17","ZNF195",1216,744
"ENSG00000005810.17","MYCBP2",1414,1165
"ENSG00000005812.10","FBXL3",1276,761
"ENSG00000005844.17","ITGAL",47,81
"ENSG00000005882.11","PDK2",694,369
"ENSG00000005884.17","ITGA3",17481,23311
"ENSG00000005889.15","ZFX",368,360
"ENSG00000005893.15","LAMP2",1748,1668
"ENSG00000005961.18","ITGA2B",51,57
"ENSG00000006007.11","GDE1",1455,1606
"ENSG00000006015.17","REX1BD",303,260
"ENSG00000006016.10","CRLF1",63,30
"ENSG00000006025.11","OSBPL7",269,308
"ENSG00000006042.11","TMEM98",1642,457
"ENSG00000006047.12","YBX2",190,716
"ENSG00000006062.15","MAP3K14",206,224
"ENSG00000006071.13","ABCC8",NA,1
"ENSG00000006116.3","CACNG3",NA,1
"ENSG00000006118.14","TMEM132A",3497,2314
"ENSG00000006125.17","AP2B1",2881,3545
"ENSG00000006128.11","TAC1",3,11
"ENSG00000006194.9","ZNF263",727,513
"ENSG00000006210.6","CX3CL1",312,238
"ENSG00000006282.20","SPATA20",914,803
"ENSG00000006283.17","CACNA1G",13,8
"ENSG00000006327.13","TNFRSF12A",2757,3524
"ENSG00000006377.10","DLX6",1,2
"ENSG00000006432.15","MAP3K9",864,833
"ENSG00000006451.7","RALA",1498,1336
"ENSG00000006453.13","BAIAP2L1",985,1054
"ENSG00000006459.10","KDM7A",707,350
"ENSG00000006468.13","ETV1",23,23
"ENSG00000006530.16","AGK",347,333
"ENSG00000006534.15","ALDH3B1",817,276
"ENSG00000006555.10","TTC22",252,251
"ENSG00000006576.16","PHTF2",426,326
"ENSG00000006607.13","FARP2",1021,642
"ENSG00000006611.15","USH1C",13,27
"ENSG00000006625.17","GGCT",742,1016
"ENSG00000006634.7","DBF4",206,357
"ENSG00000006638.11","TBXA2R",14,9
"ENSG00000006652.13","IFRD1",1125,1586
"ENSG00000006695.10","COX10",276,236
"ENSG00000006704.10","GTF2IRD1",1102,970
"ENSG00000006712.14","PAF1",877,876
"ENSG00000006715.15","VPS41",1998,1532
"ENSG00000006740.16","ARHGAP44",234,233
"ENSG00000006744.18","ELAC2",711,830
"ENSG00000006747.14","SCIN",14,12
"ENSG00000006756.15","ARSD",348,192
"ENSG00000006757.11","PNPLA4",4,6
"ENSG00000006831.9","ADIPOR2",1189,1437
"ENSG00000006837.11","CDKL3",9,6
"ENSG00000007038.10","PRSS21",72,37
"ENSG00000007047.14","MARK4",827,635
"ENSG00000007062.11","PROM1",97,42
"ENSG00000007080.10","CCDC124",577,454
"ENSG00000007129.17","CEACAM21",1,NA
"ENSG00000007168.12","PAFAH1B1",1831,1891
"ENSG00000007171.17","NOS2",16,11
"ENSG00000007174.17","DNAH9",13,12
"ENSG00000007202.14","KIAA0100",2987,2878
"ENSG00000007237.18","GAS7",192,219
"ENSG00000007255.10","TRAPPC6A",169,80
"ENSG00000007264.14","MATK",4,3
"ENSG00000007312.12","CD79B",5,1
"ENSG00000007314.12","SCN4A",16,40
"ENSG00000007341.18","ST7L",168,165
